id,name,category,latitude,longitude,is_verified
187,Narayana Hospital,district_emergency,17.2488031,80.1467813,1
188,Gowthami Hospital,district_emergency,17.2488668,80.1466659,1
189,Gangothri Hospital,district_emergency,17.2489854,80.1466483,1
191,"Ayurvedic Hospital, Bharmour",district_emergency,32.443286,76.5409532,1
192,Samaikhya,district_emergency,17.2521367,80.1436115,1
194,Newlife,district_emergency,17.2521772,80.1440463,1
195,Madansingh,district_emergency,17.2524486,80.144212,1
196,Cure Emergency Hospital,trauma_l2,17.2522634,80.1444034,1
197,Sriraksha,district_emergency,17.2523413,80.1444172,1
198,Nikhila Hospital,district_emergency,17.2519496,80.1444711,1
199,"Ayurvedic Health Centre, Kilar",district_emergency,33.0811597,76.4071944,1
201,Meghana,district_emergency,17.250304,80.145006,1
202,Bala Hospital,district_emergency,10.9969296,76.995705,1
203,"Ayurvedic Health Centre, Triloknath",district_emergency,32.6840914,76.6958958,1
204,Arogyasree Health care trust,district_emergency,17.4301742,78.3937323,1
205,"Ganga Medical Centre and Hospitals Pvt. Ltd ,Ramnagar",district_emergency,11.0158724,76.9594235,1
207,"Kongunad Hospital, Coimbatore",district_emergency,11.018058,76.9604883,1
208,Sheela Clinic,district_emergency,11.01843,76.9604642,1
209,Christuraj Hospital,district_emergency,9.7117351,76.6813947,1
210,Saifee Ambulance,district_emergency,18.9599377,72.8314957,1
211,Sanjeevani Vitalife Medipoint Hospital,district_emergency,18.5649263,73.8022626,1
212,LifeLine Hospital,district_emergency,18.5597445,73.8062674,1
213,KMC Hospital,district_emergency,13.3534806,74.7893684,1
214,Dr. Chowdhary,district_emergency,18.5547291,73.8082012,1
215,Dr. Bonagiri,district_emergency,18.5554816,73.8088556,1
216,Civil Hospital Barnala,district_emergency,30.3750707,75.5447007,1
217,Surojini Devi Eye Hospital,district_emergency,17.3990359,78.4447966,1
218,Star Hospital,district_emergency,17.4156911,78.4454609,1
219,Rainbow Hospitals,district_emergency,17.4148145,78.4475692,1
220,Fernandez Hospital,district_emergency,17.3921498,78.4793651,1
221,Oxygen Hospital,district_emergency,17.4556983,78.4984034,1
222,Kailash Hospital & Heart Institute,district_emergency,28.577404,77.3314139,1
223,Preet Health Centre,district_emergency,30.8661306,75.852472,1
224,Dr. Jagdeep Rehab Centre,district_emergency,30.8691118,75.8548692,1
225,Dayal Medical Centre,district_emergency,30.8736496,75.8432881,1
227,Guru Nanak Charitable Hospital,district_emergency,30.865567,75.8718079,1
228,Aggarwal Clinic,district_emergency,30.8659266,75.8610229,1
229,Akal Health Clinic,district_emergency,30.8659489,75.8608783,1
230,Jain Hospital,district_emergency,30.8580096,75.8742937,1
232,A.P. Singh Eye Surgeon,district_emergency,30.8624382,75.866673,1
233,Physical Clinic,district_emergency,30.8657121,75.8677957,1
234,Khanna Clinic,district_emergency,30.8658824,75.8625647,1
235,Government Dispensary,district_emergency,30.8662824,75.861816,1
237,Nanank Sar Charitable Hospital,district_emergency,30.8690757,75.8819246,1
238,Didar Hospital,district_emergency,30.8776864,75.8593693,1
239,Rama ji Charitable Clinic,district_emergency,30.8691832,75.8668154,1
240,Arora Clinic,district_emergency,30.8699152,75.8668555,1
